election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,ALG,1,#a74c97,0,18,,,Hürlimann,Adrian,1002,False,ALG,#a74c97,male,1950,10,,1,0,0,1,0,0
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,ALG,1,#a74c97,0,18,,,Zuniga-Togni,Katja,1001,False,ALG,#a74c97,female,1958,8,,1,0,0,1,0,0
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,Die Mitte,3,#ff6300,0,270,,,Simmen,Markus,3001,False,Die Mitte,#ff6300,male,1963,270,0,,10,3,0,27,44
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,FDP,5,#4068c8,1,389,,,Blättler,Andreas,5002,False,FDP,#4068c8,male,1971,120,0,22,,2,1,26,77
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,FDP,5,#4068c8,1,389,,,Grond,Flurin,5001,True,FDP,#4068c8,male,1973,266,0,22,,2,1,26,77
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,GLP,6,#aeca00,0,221,,,Semela,Lorin,6001,False,GLP,#aeca00,male,1999,87,2,10,4,,2,3,27
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,GLP,6,#aeca00,0,221,,,Strickler,Michael,6002,False,GLP,#aeca00,male,1999,133,2,10,4,,2,3,27
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,SP,7,#db3c27,0,67,,,Gartmann,Sereina,7001,False,SP,#db3c27,female,1983,66,0,4,1,5,,0,10
Kantonsratswahl 2022 Gde Neuheim,,,,2022-10-02,municipality,proporz,2,,final,,,Neuheim,1705,True,1431,,723,3,0,3,720,1,0,1439,SVP,8,#3f841a,1,474,,,Schweizer,Emil,8001,True,SVP,#3f841a,male,1964,474,0,11,10,1,1,,47
