election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,ALG,1,#a74c97,0,31,,,Kretz,Andreas,1001,False,ALG,#a74c97,male,1988,31,,0,0,2,2,0,11
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,Die Mitte,3,#ff6300,1,760,,,Rust,Peter,3001,True,Die Mitte,#ff6300,male,1974,760,1,,42,2,13,40,72
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,FDP,5,#4068c8,1,524,,,Lanz,Christophe,5001,True,FDP,#4068c8,male,1985,523,1,60,,2,3,23,44
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,GLP,6,#aeca00,0,79,,,Huber,Stefan Werner,6001,False,GLP,#aeca00,male,1986,79,0,2,2,,3,0,11
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,SP,7,#db3c27,0,346,,,Odermatt,Arsena,7002,False,SP,#db3c27,female,2002,98,2,29,5,9,,4,50
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,SP,7,#db3c27,0,346,,,Suter,Guido,7001,False,SP,#db3c27,male,1958,247,2,29,5,9,,4,50
Kantonsratswahl 2022 Gde Walchwil,,,,2022-10-02,municipality,proporz,2,,final,,,Walchwil,1710,True,2085,,1160,3,76,79,1081,6,0,2156,SVP,8,#3f841a,0,416,,,Portmann,Willy,8001,False,SVP,#3f841a,male,1975,414,0,11,10,0,0,,50
